name_cn,name,pop_2020
北京市,Beijing Municipality,21893095
天津市,Tianjin Municipality,13866009
河北省,Hebei Province,74610235
山西省,Shanxi Province,34915616
内蒙古自治区,Nei Mongol Autonomous Region,24049155
辽宁省,Liaoning Province,42591407
吉林省,Jilin Province,24073453
黑龙江省,Heilongjiang Province,31850088
上海市,Shanghai Municipality,24870895
江苏省,Jiangsu Province,84748016
浙江省,Zhejiang Province,64567588
安徽省,Anhui Province,61027171
福建省,Fujian Province,41540086
江西省,Jiangxi Province,45188635
山东省,Shandong Province,101527453
河南省,Henan Province,99365519
湖北省,Hubei Province,57752557
湖南省,Hunan Province,66444864
广东省,Guangdong Province,126012510
广西壮族自治区,Guangxi Zhuangzu Autonomous Region,50126804
海南省,Hainan Province,10081232
重庆市,Chongqing Municipality,32054159
四川省,Sichuan Province,83674866
贵州省,Guizhou Province,38562148
云南省,Yunnan Province,47209277
西藏自治区,Xizang Autonomous Region,3648100
陕西省,Shaanxi Province,39528999
甘肃省,Gansu Province,25019831
青海省,Qinghai Province,5923957
宁夏回族自治区,Ningxia Huizu Autonomous Region,7202654
新疆维吾尔自治区,Xinjiang Uygur Autonomous Region,25852345
