# Seed city roster. Hand-maintained; safe to edit, add, or comment out with '#'.
#
# pop     is the denominator for the "10k to 10% of the city" band, so it should be
#         the CITY PROPER / administrative figure, not the metro area. Approximate is
#         fine — the band rule is a ratio test with a 70% threshold, not a precise cut.
# radiusKm is the half-width of the Overpass query box around lat/lon. Wide enough to
#         cover the built-up area; overlap with neighbouring cities is fine because
#         each candidate is assigned to its nearest seed city.
#
qid,name,country,lat,lon,pop,radiusKm
Q3748,Monrovia,LR,6.3106,-10.8047,1761032,15
Q3859,Kigali,RW,-1.9525,30.115,1745555,15
Q19660,Bucharest,RO,44.4134,26.0978,1716961,15
Q1781,Budapest,HU,47.4983,19.0408,1685209,15
Q3894,Kampala,UG,0.3136,32.5811,1680600,15
Q3733,Conakry,GN,9.5092,-13.7122,1667864,15
Q3674,Niamey,NE,13.515,2.1175,1496260,13
Q37100,Auckland,NZ,-36.8492,174.7653,1470100,13
Q3688,Nouakchott,MR,18.0858,-15.9785,1446761,13
Q3718,Dakar,SN,14.6726,-17.432,1438725,13
Q3826,Muscat,OM,23.6139,58.5922,1421409,13
Q223920,Pointe-Noire,CG,-4.7975,11.8503,1420612,13
Q23430,Ulaanbaatar,MN,47.9214,106.9055,1396288,13
Q1335,Montevideo,UY,-34.9059,-56.1913,1302954,13
Q3579,Tripoli,LY,32.8875,13.1875,1293016,13
Q3915,Antananarivo,MG,-18.91,47.525,1275207,13
Q472,Sofia,BG,42.6979,23.3217,1213134,13
Q3711,Belgrade,RS,44.8178,20.4569,1197714,13
Q9361,Bishkek,KG,42.8667,74.5667,1191000,13
Q3861,Doha,QA,25.2861,51.5294,1186023,13
Q3889,Maputo,MZ,-25.9689,32.5733,1133200,13
Q994,Tbilisi,GE,41.7225,44.7925,1118035,13
Q1953,Yerevan,AM,40.1814,44.5144,1106300,13
Q3659,N'Djamena,TD,12.11,15.05,1092066,13
Q3238,Tegucigalpa,HN,14.1058,-87.2047,1055729,13
Q1218,Jerusalem,PS,31.7767,35.2342,1050151,13
Q23438,Ashgabat,TM,37.95,58.3833,1030063,13
Q1555,Guatemala City,GT,14.6417,-90.5133,994938,13
Q3876,Lilongwe,MW,-13.9864,33.7681,989318,13
Q34261,Port-au-Prince,HT,18.5469,-72.3403,987310,13
Q3642,Asmara,ER,15.3333,38.9167,963000,13
Q3780,Freetown,SL,8.4872,-13.2356,951000,13
Q9365,Dushanbe,TJ,38.5731,68.7864,948251,13
Q34692,Kingston,JM,17.9714,-76.7931,937700,13
Q3274,Managua,NI,12.1547,-86.2737,937489,13
Q3825,Libreville,GA,0.4078,9.4403,899000,13
Q3832,Bangui,CF,4.3732,18.5628,889231,13
Q3037,Kathmandu,NP,27.71,85.32,845767,13
Q43595,Cotonou,BJ,6.3667,2.4167,780000,13
Q1435,Zagreb,HR,45.8131,15.9772,767131,13
Q585,Oslo,NO,59.9133,10.7389,717710,13
Q1757,Helsinki,FI,60.1708,24.9375,694392,12
Q3854,Bujumbura,BI,-3.3825,29.3611,658859,12
Q35381,Colombo,LK,6.9267,79.8606,647557,12
Q3604,Djibouti,DJ,11.595,43.1481,603900,12
Q3572,Tunis,TN,36.8008,10.18,602560,12
Q1761,Dublin,IE,53.3497,-6.2603,592713,12
Q1773,Riga,LV,56.9475,24.1069,588911,12
Q216,Vilnius,LT,54.6872,25.28,581475,12
Q21197,Chișinău,MD,47.0228,28.8353,567038,12
Q12892,Antwerp,BE,51.2211,4.3997,529247,12
Q1947,Juba,SS,4.8539,31.5825,500088,12
Q1854,Ho Chi Minh City,VN,10.7756,106.7019,14002598,30
Q11739,Lahore,PK,31.5497,74.3436,11126285,30
Q3640,Ankara,TR,39.9358,32.8387,5803482,20
Q656,Saint Petersburg,RU,59.95,30.3167,5652922,20
Q87,Alexandria,EG,31.1975,29.8925,5362517,20
Q374365,Jeddah,SA,21.5292,39.1611,4697000,20
Q182984,Kano,NG,12.0,8.5167,4348000,20
Q16520,Busan,KR,35.18,129.075,3453198,20
Q376749,Chittagong,BD,22.335,91.8325,3230507,20
Q245023,Taichung,TW,24.1439,120.6794,3033885,20
Q11462,Surabaya,ID,-7.2463,112.7378,3009286,20
Q319660,Mbuji-Mayi,CD,-6.1261,23.5997,2892000,15
Q204271,San Luis Potosí,MX,22.1497,-100.975,2822255,15
Q48278,Medellín,CO,6.2502,-75.5676,2529403,15
Q3808,Yaoundé,CM,3.8578,11.5181,2440462,15
Q41183,Aleppo,SY,36.2,37.16,2003671,15
Q42053,Isfahan,IR,32.6525,51.6747,1961260,15
Q194165,Irbid,JO,32.5556,35.85,1911600,15
Q1473,Davao City,PH,7.0662,125.6094,1848947,15
Q83317,Mosul,IQ,36.3417,43.1292,1792000,15
Q2900,Quito,EC,-0.22,-78.5125,1763275,15
Q1519,Abu Dhabi,AE,24.4511,54.3969,1570000,15
Q171632,Maracaibo,VE,10.6333,-71.6333,1551539,15
