Title,URL,lat,lon
Gold Label,https://www.google.com/maps/place/Gold+Label/data=!4m2!3m1!1s0x89c244412f44345d:0x6093c4b0ba47f8ad,40.5770968,-73.9646878
Coney Island-Stillwell Av,https://www.google.com/maps/place/Coney+Island-Stillwell+Av/data=!4m2!3m1!1s0x89c2444a9746d72f:0x5b7725540bf8c101,40.5907911,-73.98412189999999
Peng's Noodle Folk,https://www.google.com/maps/place/Peng's+Noodle+Folk/data=!4m2!3m1!1s0x89c258ba5e77e5a7:0x5f40d9d6fb57a1c2,40.770946,-73.9620016
Oneg Bakery,https://www.google.com/maps/place/Oneg+Bakery/data=!4m2!3m1!1s0x89c25be62ea95c15:0x6e1dc656a72b8962,40.7022687,-73.9562267
Meet Fresh,https://www.google.com/maps/place/Meet+Fresh/data=!4m2!3m1!1s0x89c2610048abb00b:0xc478218b6fe1d6c4,40.76003,-73.83374289999999
Casa Caribe Pizza,https://www.google.com/maps/place/Casa+Caribe+Pizza/data=!4m2!3m1!1s0x89c25d5cc96fbb65:0x2d07a85d6a55ae6d,40.6965932,-73.93499469999999
The Orpheum Theatre,https://www.google.com/maps/place/The+Orpheum+Theatre/data=!4m2!3m1!1s0x80c2c7caf9c20a59:0xb2b5fb45d281f926,40.728245,-73.9877242
Cathedral of Our Lady of the Angels,https://www.google.com/maps/place/Cathedral+of+Our+Lady+of+the+Angels/data=!4m2!3m1!1s0x80c2c651d95548c9:0x65e0ac4b47f3f069,34.0574619,-118.2453146
University Park,https://www.google.com/maps/place/University+Park/data=!4m2!3m1!1s0x80c2c7e90e989213:0x8ebba90d1420823b,40.5174279,-74.4593913
Exposition Park Rose Garden,https://www.google.com/maps/place/Exposition+Park+Rose+Garden/data=!4m2!3m1!1s0x80c2c7e296808c63:0xb41d8366f7be2fef,34.0173508,-118.2859244
Tsujita LA Artisan Noodles,https://www.google.com/maps/place/Tsujita+LA+Artisan+Noodles/data=!4m2!3m1!1s0x80c2bb74df48dd81:0xf5e9b108b806741f,34.0395711,-118.4426526
Yamaguchi Bonsai Nursery,https://www.google.com/maps/place/Yamaguchi+Bonsai+Nursery/data=!4m2!3m1!1s0x80c2bb74120db623:0x8e60e3ae92d0de42,34.042164,-118.4448879
Venice Canal Historic District,https://www.google.com/maps/place/Venice+Canal+Historic+District/data=!4m2!3m1!1s0x80c2baa2bf5a7289:0x96e7291be897f918,33.9833582,-118.4675949
Sunny Blue,https://www.google.com/maps/place/Sunny+Blue/data=!4m2!3m1!1s0x80c2bad235e9b36b:0xee312f6d6eab98be,40.7847765,-73.84013089999999
Santa Monica Pier,https://www.google.com/maps/place/Santa+Monica+Pier/data=!4m2!3m1!1s0x80c2a4d74d5ea79b:0xcd9a111aced18f4d,34.0082821,-118.4987585
Thien Huong Restaurant,https://www.google.com/maps/place/Thien+Huong+Restaurant/data=!4m2!3m1!1s0x80c2c65af79ca789:0xf9dbf8b42cc5d017,34.0612264,-118.2390596
California Market,https://www.google.com/maps/place/California+Market/data=!4m2!3m1!1s0x80c2b89a4a411985:0xc97c73b77bd42435,34.0657222,-118.3083861
Stories,https://www.google.com/maps/place/Stories/data=!4m2!3m1!1s0x80c2c71b8369099d:0x6a710a4078636fe5,34.0773434,-118.2590913
Echo Park,https://www.google.com/maps/place/Echo+Park/data=!4m2!3m1!1s0x80c2c704c57519c1:0xe01da4a03963ad75,34.07376199999999,-118.2596909
Union,https://www.google.com/maps/place/Union/data=!4m2!3m1!1s0x80c2c64160adbc4b:0x527217f541ae2569,34.0560307,-118.2347682
Quickly,https://www.google.com/maps/place/Quickly/data=!4m2!3m1!1s0x80c2c65a5dc841bf:0x8aa4d38f08b7b444,34.0617294,-118.239651
449 S Kingsley Dr,https://www.google.com/maps/place/449+S+Kingsley+Dr/data=!4m2!3m1!1s0x80c2b9cfcc419da5:0xff57df52ead2361e,34.0657267,-118.3034183
Los Angeles State Historic Park,https://www.google.com/maps/place/Los+Angeles+State+Historic+Park/data=!4m2!3m1!1s0x80c2c65e3534f981:0x4b6311c62cbd36e2,34.0682286,-118.2318135
Ginkgo Chinese Restaurant,https://www.google.com/maps/place/Ginkgo+Chinese+Restaurant/data=!4m2!3m1!1s0x80c3318069b25589:0x61ec9759efea708c,34.106335,-117.7327641
OH LA LA,https://www.google.com/maps/place/OH+LA+LA/data=!4m2!3m1!1s0x80c2c37db89145bd:0xb6679fe95d092140,34.1461793,-118.1313991
Chipotle Mexican Grill,https://www.google.com/maps/place/Chipotle+Mexican+Grill/data=!4m2!3m1!1s0x80c3311ef635bd3d:0x5eb6dfaf1393920f,34.1219702,-117.692123
The Claremont Colleges Library,https://www.google.com/maps/place/The+Claremont+Colleges+Library/data=!4m2!3m1!1s0x80c331b8b1fcf963:0xef3edda04c38262b,34.1021295,-117.7122863
California Botanic Garden,https://www.google.com/maps/place/California+Botanic+Garden/data=!4m2!3m1!1s0x80c331ca6d3842ff:0x8a008e9e0e1050cc,34.1107605,-117.713958
Margaret Fowler Garden,https://www.google.com/maps/place/Margaret+Fowler+Garden/data=!4m2!3m1!1s0x80c331babc486089:0xe0afb0ca707b4814,34.1037782,-117.7096861
