Title,Note,URL,Tags,Comment
Kisa,,https://www.google.com/maps/place/Kisa/data=!4m2!3m1!1s0x89c2590052648bdd:0x9bf652a8ba5bde31,,
New Museum,,https://www.google.com/maps/place/New+Museum/data=!4m2!3m1!1s0x89c25985dc52a495:0xe5b742a70f4c59da,,
MoMA Design Store,,https://www.google.com/maps/place/MoMA+Design+Store/data=!4m2!3m1!1s0x89c2598ed485b56b:0xfedb4f896b08ddaa,,
Champion Pizza - Soho,,https://www.google.com/maps/place/Champion+Pizza+-+Soho/data=!4m2!3m1!1s0x89c25988dc90e369:0x918de7164aa03ab5,,
% Arabica New York Nolita,,https://www.google.com/maps/place/%25+Arabica+New+York+Nolita/data=!4m2!3m1!1s0x89c25998e1e6af3b:0xd45e18d1c9ebcbf4,,
Rice To Riches,,https://www.google.com/maps/place/Rice+To+Riches/data=!4m2!3m1!1s0x89c25988b16d50b7:0x9742f9568a8cafb5,,
Teavva 茶花女,,https://www.google.com/maps/place/Teavva+%E8%8C%B6%E8%8A%B1%E5%A5%B3/data=!4m2!3m1!1s0x89c2599bab5687e5:0xd92abd86e210865,,
noodlelove,,https://www.google.com/maps/place/noodlelove/data=!4m2!3m1!1s0x89c259074aff7089:0xa06635b807fa8536,,
Corlears Hook Park,,https://www.google.com/maps/place/Corlears+Hook+Park/data=!4m2!3m1!1s0x89c25bd444a4946d:0x453dbb073a1ac074,,
Tiptara : Thai Food,,https://www.google.com/maps/place/Tiptara+:+Thai+Food/data=!4m2!3m1!1s0x89c25b40861c4897:0x4a6bfbafde7cf42f,,
Ernesto's,,https://www.google.com/maps/place/Ernesto's/data=!4m2!3m1!1s0x89c25b94fec7a4c9:0xbc005d2c0f9584a7,,
Joan H. & Preston Robert Tisch Center at Essex Crossing,,https://www.google.com/maps/place/Joan+H.+%26+Preston+Robert+Tisch+Center+at+Essex+Crossing/data=!4m2!3m1!1s0x89c259de8c66ce01:0x1a5b8eed81ca9a08,,
Wolfnights - The Gourmet Wrap,,https://www.google.com/maps/place/Wolfnights+-+The+Gourmet+Wrap/data=!4m2!3m1!1s0x89c259814a00fb07:0xe43b9c357edcd1e7,,
Lava Shawarma,,https://www.google.com/maps/place/Lava+Shawarma/data=!4m2!3m1!1s0x89c25995f9b4b253:0x79037cbee68fe568,,
Bluestockings Cooperative Bookstore,,https://www.google.com/maps/place/Bluestockings+Cooperative+Bookstore/data=!4m2!3m1!1s0x89c2595e2bbfbee1:0x492b11458dc1daa9,,
Cocoron,,https://www.google.com/maps/place/Cocoron/data=!4m2!3m1!1s0x89c259889ec882a9:0x94b396ae47745bc9,,
Petee's Pie Company,,https://www.google.com/maps/place/Petee's+Pie+Company/data=!4m2!3m1!1s0x89c259871dbc95eb:0xc7bfe0cf770f54e0,,
The Bowery Ballroom,,https://www.google.com/maps/place/The+Bowery+Ballroom/data=!4m2!3m1!1s0x89c259863914052d:0x1e5c3eb315d217d4,,
Essex Market,,https://www.google.com/maps/place/Essex+Market/data=!4m2!3m1!1s0x89c25980cf9dfced:0xf5403993386ea197,,
Pacific Aquarium & Plant,,https://www.google.com/maps/place/Pacific+Aquarium+%26+Plant/data=!4m2!3m1!1s0x89c25986f98b9d63:0x83d1165c287ba6a1,,
Chinatown Supermarket of Manhattan,,https://www.google.com/maps/place/Chinatown+Supermarket+of+Manhattan/data=!4m2!3m1!1s0x89c25a28e8e4eb09:0xc27c44ede080f2d6,,
Brooklyn Fare,,https://www.google.com/maps/place/Brooklyn+Fare/data=!4m2!3m1!1s0x89c25bb9ebdc5dc7:0x5ddef94a22619a9f,,
Grand Street Pizza,,https://www.google.com/maps/place/Grand+Street+Pizza/data=!4m2!3m1!1s0x89c259b47e7bd829:0xc8d86f11c534b6ed,,
E Noodle Chinatown,,https://www.google.com/maps/place/E+Noodle+Chinatown/data=!4m2!3m1!1s0x89c25b52f924cf11:0xcc199239c76a8668,,
Doughnut Plant,,https://www.google.com/maps/place/Doughnut+Plant/data=!4m2!3m1!1s0x89c25a2a074b26d9:0x5d638c1617230de6,,
Trader Joe's,,https://www.google.com/maps/place/Trader+Joe's/data=!4m2!3m1!1s0x89c259c8430160f5:0x80f40ea92594d9e7,,
Jade & Clover,,https://www.google.com/maps/place/Jade+%26+Clover/data=!4m2!3m1!1s0x89c2592f37794ce3:0xe8b65c748e63f0c5,,
Möge Tee,,https://www.google.com/maps/place/M%C3%B6ge+Tee/data=!4m2!3m1!1s0x89c25b7122fa1ca9:0x27a86749bea0f941,,
Dahing Plants,,https://www.google.com/maps/place/Dahing+Plants/data=!4m2!3m1!1s0x89c2598785336e8b:0x55c045a8ac2fd8f9,,
Double Crispy Bakery,,https://www.google.com/maps/place/Double+Crispy+Bakery/data=!4m2!3m1!1s0x89c259887316daa3:0xda876b5dd4bafbdf,,
The Chai Spot,,https://www.google.com/maps/place/The+Chai+Spot/data=!4m2!3m1!1s0x89c259d2e5705ba5:0xc3246f59ded9c11d,,
Kitchen Cô Út,,https://www.google.com/maps/place/Kitchen+C%C3%B4+%C3%9At/data=!4m2!3m1!1s0x89c2599d7d82a11d:0x1fbf1e2c142bd8ff,,
Bake Culture,,https://www.google.com/maps/place/Bake+Culture/data=!4m2!3m1!1s0x89c25a27ba36d40d:0xfcb2aecc716cbef,,
Happy Malaysia Canteen,,https://www.google.com/maps/place/Happy+Malaysia+Canteen/data=!4m2!3m1!1s0x89c25b5bd98e9909:0x23c31261f5710f7b,,
Tai Pan Bakery,,https://www.google.com/maps/place/Tai+Pan+Bakery/data=!4m2!3m1!1s0x89c25a277175cedf:0x865c948546d06014,,
Yin Ji Chang Fen,,https://www.google.com/maps/place/Yin+Ji+Chang+Fen/data=!4m2!3m1!1s0x89c25b0cae7d21cd:0x7f601d520ae50d2d,,
Silk Road Cafe,,https://www.google.com/maps/place/Silk+Road+Cafe/data=!4m2!3m1!1s0x89c25a26e564a879:0x648daa545bfc03a2,,
Yu & Me Books,,https://www.google.com/maps/place/Yu+%26+Me+Books/data=!4m2!3m1!1s0x89c25be3fe8ab65b:0xb81a20679a5e9ec,,
Wok Wok,,https://www.google.com/maps/place/Wok+Wok/data=!4m2!3m1!1s0x89c25a2694c3ffff:0xf440483b09f0bf1d,,
Columbus Park,,https://www.google.com/maps/place/Columbus+Park/data=!4m2!3m1!1s0x89c25a26d0f50065:0xe6130b5a5bc3eb0a,,
Spongies Cafe,,https://www.google.com/maps/place/Spongies+Cafe/data=!4m2!3m1!1s0x89c2596cd19f2355:0xc20236bb4ec952d8,,
Lily's Vegan Pantry,,https://www.google.com/maps/place/Lily's+Vegan+Pantry/data=!4m2!3m1!1s0x89c25989c2eefc67:0x82c42cfab57cda11,,
Canal Street Market,,https://www.google.com/maps/place/Canal+Street+Market/data=!4m2!3m1!1s0x89c2598a1c2ab6dd:0x882baebe8ff1a558,,
Spring Cafe,,https://www.google.com/maps/place/Spring+Cafe/data=!4m2!3m1!1s0x89c25b59ce58ec8f:0x1723d09eb6c8346d,,
Canal Lighting & Parts,,https://www.google.com/maps/place/Canal+Lighting+%26+Parts/data=!4m2!3m1!1s0x89c2598a45f3a221:0x4f7ce977c821a283,,
Honest Indian Restaurant,,https://www.google.com/maps/place/Honest+Indian+Restaurant/data=!4m2!3m1!1s0x89c259ba7875cb07:0x9b8053d41c1255c8,,
Mochidoki Cafe,,https://www.google.com/maps/place/Mochidoki+Cafe/data=!4m2!3m1!1s0x89c2596fa5a2818d:0x2fb863899821835f,,
McNally Jackson Books SoHo,,https://www.google.com/maps/place/McNally+Jackson+Books+SoHo/data=!4m2!3m1!1s0x89c2598f40e7a1c1:0xd81da90a790251be,,
Tiro A Segno of New York,,https://www.google.com/maps/place/Tiro+A+Segno+of+New+York/data=!4m2!3m1!1s0x89c259920dcad413:0x9aa526aa4382ffc8,,
Delice & Sarrasin,,https://www.google.com/maps/place/Delice+%26+Sarrasin/data=!4m2!3m1!1s0x89c259941df5118d:0x21d27e579522790a,,
Caffe Bene,,https://www.google.com/maps/place/Caffe+Bene/data=!4m2!3m1!1s0x89c2598ae28cd855:0x4552899ed1eb875d,,
Kaffe Landskap,,https://www.google.com/maps/place/Kaffe+Landskap/data=!4m2!3m1!1s0x89c259f5a6cdebff:0xa0dc2af4425c6bae,,
KATSUNO,,https://www.google.com/maps/place/KATSUNO/data=!4m2!3m1!1s0x89c25e1bc41b9c09:0xb0017994821ba263,,
Body By Brooklyn,,https://www.google.com/maps/place/Body+By+Brooklyn/data=!4m2!3m1!1s0x89c25bc6fc2521a1:0x7faa73faee911871,,
Food Story Natural Market,,https://www.google.com/maps/place/Food+Story+Natural+Market/data=!4m2!3m1!1s0x89c25700756578d1:0x959d514c66166971,,
Connecticut Muffin,,https://www.google.com/maps/place/Connecticut+Muffin/data=!4m2!3m1!1s0x89c25bb87b7df96b:0xfff908bba1decdaf,,
Nook,,https://www.google.com/maps/place/Nook/data=!4m2!3m1!1s0x89c25d3acd7b7ef5:0x56bfebe04aeed83d,,
Brooklyn Technical High School,,https://www.google.com/maps/place/Brooklyn+Technical+High+School/data=!4m2!3m1!1s0x89c25bb14c3e4b61:0x851d126ebc2e725c,,
