,route,route_id,route_dir,route_shor,route_long,ridership,color
454,Q22,Q22,Q22_0,Q22,Rockaway Beach Blvd - Beach Channel Dr,3246,#ee43a5
455,Q22,Q22,Q22_1,Q22,Rockaway Beach Blvd - Beach Channel Dr,3246,#ee43a5
373,B67,B67,B67_0,B67,Brooklyn Navy Yard - Kensington,3136,#3d69f4
374,B67,B67,B67_1,B67,Brooklyn Navy Yard - Kensington,3136,#3d69f4
216,BX17,BX17,BX17_1,Bx17,Fordham Plaza - Port Morris,3090,#dc3ef3
215,BX17,BX17,BX17_0,Bx17,Fordham Plaza - Port Morris,3090,#dc3ef3
147,Q16,Q16,Q16_0,Q16,Fort Totten - Flushing,3077,#7439f8
148,Q16,Q16,Q16_1,Q16,Fort Totten - Flushing,3077,#7439f8
475,Q40,Q40,Q40_1,Q40,142Nd Street,3076,#dcdd54
474,Q40,Q40,Q40_0,Q40,142Nd Street,3076,#dcdd54
451,Q19,Q19,Q19_1,Q19,Astoria Blvd,3065,#d9c058
450,Q19,Q19,Q19_0,Q19,Astoria Blvd,3065,#d9c058
385,B7,B7,B7_1,B7,Midwood - Bedford-Stuyvesant,3004,#c8bb69
384,B7,B7,B7_0,B7,Midwood - Bedford-Stuyvesant,3004,#c8bb69
117,S78,S78,S78_1,S78,St. George - Bricktown Mall,2954,#373bfa
116,S78,S78,S78_0,S78,St. George - Bricktown Mall,2954,#373bfa
195,Q84,Q84,Q84_0,Q84,Laurelton - Jamaica,2950,#ee4c43
196,Q84,Q84,Q84_1,Q84,Laurelton - Jamaica,2950,#ee4c43
447,Q11,Q11,Q11_1,Q11,Woodhaven Blvd,2942,#685ad7
446,Q11,Q11,Q11_0,Q11,Woodhaven Blvd,2942,#685ad7
341,B45,B45,B45_0,B45,Downtown Brooklyn - Crown Heights,2932,#6233fe
342,B45,B45,B45_1,B45,Downtown Brooklyn - Crown Heights,2932,#6233fe
295,B14,B14,B14_0,B14,Spring Creek - Crown Heights,2875,#c643ee
296,B14,B14,B14_1,B14,Spring Creek - Crown Heights,2875,#c643ee
377,B69,B69,B69_0,B69,Downtown Brooklyn - Kensington,2797,#a37cb5
378,B69,B69,B69_1,B69,Downtown Brooklyn - Kensington,2797,#a37cb5
414,BX23,BX23,BX23_0,Bx23,Pelham Bay - Co-Op City,2796,#3cf5ba
415,BX23,BX23,BX23_1,Bx23,Pelham Bay - Co-Op City,2796,#3cf5ba
152,Q1,Q1,Q1_1,Q1,Queens Village / Bellerose - Jamaica,2787,#d2845f
151,Q1,Q1,Q1_0,Q1,Queens Village / Bellerose - Jamaica,2787,#d2845f
483,Q50,Q50,Q50_1,Q50,Co-Op City/Pelham Bay - Flushing,2757,#f53cf5
482,Q50,Q50,Q50_0,Q50,Co-Op City/Pelham Bay - Flushing,2757,#f53cf5
242,BX30,BX30,BX30_1,Bx30,Co-op City Section 5 - Pelham Pkwy,2706,#fc4135
241,BX30,BX30,BX30_0,Bx30,Co-op City Section 5 - Pelham Pkwy,2706,#fc4135
132,S93,S93,S93_1,S93,College of Staten Island - Bay Ridge LTD,2697,#34fd57
131,S93,S93,S93_0,S93,College of Staten Island - Bay Ridge LTD,2697,#34fd57
426,Q101,Q101,Q101_0,Q101,Steinway Street,2604,#7cacb5
427,Q101,Q101,Q101_1,Q101,Steinway Street,2604,#7cacb5
425,Q100,Q100,Q100_1,Q100,Rikers Island - Long Island City,2549,#8434fd
424,Q100,Q100,Q100_0,Q100,Rikers Island - Long Island City,2549,#8434fd
246,BX32,BX32,BX32_1,Bx32,Kingsbridge VA Hospital - Mott Haven,2453,#94bb76
245,BX32,BX32,BX32_0,Bx32,Kingsbridge VA Hospital - Mott Haven,2453,#94bb76
442,Q113,Q113,Q113_0,Q113,Guy Brewer Blvd - Nassau Expwy Ltd,2448,#fe33bc
443,Q113,Q113,Q113_1,Q113,Guy Brewer Blvd - Nassau Expwy Ltd,2448,#fe33bc
466,Q35,Q35,Q35_0,Q35,Rockaway Park - Brooklyn College,2409,#40f148
467,Q35,Q35,Q35_1,Q35,Rockaway Park - Brooklyn College,2409,#40f148
234,BX27,BX27,BX27_1,Bx27,Clasons Pt - West Farms Rd & Southern Blvd,2394,#3a51f7
233,BX27,BX27,BX27_0,Bx27,Clasons Pt - West Farms Rd & Southern Blvd,2394,#3a51f7
184,Q48,Q48,Q48_1,Q48,Flushing - LaGuardia Airport,2186,#9bb57c
183,Q48,Q48,Q48_0,Q48,Flushing - LaGuardia Airport,2186,#9bb57c
371,B65,B65,B65_0,B65,Downtown Brooklyn - Crown Heights,2106,#5a33fe
372,B65,B65,B65_1,B65,Downtown Brooklyn - Crown Heights,2106,#5a33fe
349,B48,B48,B48_0,B48,Lefferts Gardens - Greenpoint,2030,#cb7366
350,B48,B48,B48_1,B48,Lefferts Gardens - Greenpoint,2030,#cb7366
429,Q102,Q102,Q102_1,Q102,31 St - Roosevelt Island,2010,#bc758c
428,Q102,Q102,Q102_0,Q102,31 St - Roosevelt Island,2010,#bc758c
497,Q67,Q67,Q67_1,Q67,Borden Ave - 69 Street,2002,#33fe89
496,Q67,Q67,Q67_0,Q67,Borden Ave - 69 Street,2002,#33fe89
316,B31,B31,B31_1,B31,Gerritsen Beach - Kings Hwy Station,1965,#42efe2
315,B31,B31,B31_0,B31,Gerritsen Beach - Kings Hwy Station,1965,#42efe2
53,M50,M50,M50_1,M50,W 42 St Pier - East Side,1922,#d533fe
52,M50,M50,M50_0,M50,W 42 St Pier - East Side,1922,#d533fe
249,BX34,BX34,BX34_0,Bx34,Woodlawn - Fordham Center,1904,#c56cc4
250,BX34,BX34,BX34_1,Bx34,Woodlawn - Fordham Center,1904,#c56cc4
383,B74,B74,B74_1,B74,Sea Gate - Stillwell Av,1892,#503df4
231,BX26,BX26,BX26_0,Bx26,Co-op City Section 5 - Bedford Park,1832,#e77f4a
232,BX26,BX26,BX26_1,Bx26,Co-op City Section 5 - Bedford Park,1832,#e77f4a
453,Q21,Q21,Q21_1,Q21,Cross Bay - Woodhaven Blvds,1802,#38cdf9
452,Q21,Q21,Q21_0,Q21,Cross Bay - Woodhaven Blvds,1802,#38cdf9
307,B24,B24,B24_0,B24,Williamsburg - Greenpoint,1783,#dbde53
308,B24,B24,B24_1,B24,Williamsburg - Greenpoint,1783,#dbde53
432,Q104,Q104,Q104_0,Q104,Broadway - 48 Street,1745,#91fe33
433,Q104,Q104,Q104_1,Q104,Broadway - 48 Street,1745,#91fe33
105,S59,S59,S59_1,S59,Port Richmond - Tottenville,1713,#62cf92
104,S59,S59,S59_0,S59,Port Richmond - Tottenville,1713,#62cf92
323,B37,B37,B37_0,B37,Downtown Brooklyn - Bay Ridge,1649,#39f83a
324,B37,B37,B37_1,B37,Downtown Brooklyn - Bay Ridge,1649,#39f83a
314,B2,B2,B2_1,B2,Kings Hwy Station - Kings Plaza,1557,#6882c9
313,B2,B2,B2_0,B2,Kings Hwy Station - Kings Plaza,1557,#6882c9
32,M22,M22,M22_0,M22,Lower East Side - Battery Park City,1523,#da5762
33,M22,M22,M22_1,M22,Lower East Side - Battery Park City,1523,#da5762
133,S94,S94,S94_0,S94,St. George - Staten Island Mall LTD,1521,#add65b
134,S94,S94,S94_1,S94,St. George - Staten Island Mall LTD,1521,#add65b
84,S44,S44,S44_0,S44,St. George - Staten Island Mall,1521,#f1e840
85,S44,S44,S44_1,S44,St. George - Staten Island Mall,1521,#f1e840
9,M106,M106,M106_1,M106,East Harlem - West Side,1495,#33feda
8,M106,M106,M106_0,M106,East Harlem - West Side,1495,#33feda
89,S48,S48,S48_1,S48,St. George - Mariners Harbor,1449,#eb4665
88,S48,S48,S48_0,S48,St. George - Mariners Harbor,1449,#eb4665
137,S98,S98,S98_0,S98,St. George - Mariners Harbor LTD,1449,#db567e
138,S98,S98,S98_1,S98,St. George - Mariners Harbor LTD,1449,#db567e
54,M55,M55,M55_0,M55,W 44 St  - South Ferry,1445,#cf628f
55,M55,M55,M55_1,M55,W 44 St  - South Ferry,1445,#cf628f
92,S52,S52,S52_0,S52,St. George - Staten Island Univ. Hospital,1393,#aeb57c
93,S52,S52,S52_1,S52,St. George - Staten Island Univ. Hospital,1393,#aeb57c
334,B42,B42,B42_1,B42,Canarsie Pier - Rockaway Parkway Station,1301,#37fae6
333,B42,B42,B42_0,B42,Canarsie Pier - Rockaway Parkway Station,1301,#37fae6
113,S74,S74,S74_1,S74,St. George - Bricktown Mall,1284,#33b5fe
112,S74,S74,S74_0,S74,St. George - Bricktown Mall,1284,#33b5fe
121,S84,S84,S84_1,S84,St. George - Bricktown Mall LTD,1284,#d23cf5
29,M20,M20,M20_1,M20,Lincoln Center - South Ferry,1273,#f63bcd
28,M20,M20,M20_0,M20,Lincoln Center - South Ferry,1273,#f63bcd
76,M98,M98,M98_0,M98,Washington Heights - Upper East Side,1133,#bcfd34
77,M98,M98,M98_1,M98,Washington Heights - Upper East Side,1133,#bcfd34
430,Q103,Q103,Q103_0,Q103,27 Ave - Borden Ave,1092,#fef833
431,Q103,Q103,Q103_1,Q103,27 Ave - Borden Ave,1092,#fef833
107,S61,S61,S61_1,S61,St. George - Staten Island Mall,1085,#8cba77
127,S91,S91,S91_0,S91,St. George - Staten Island Mall LTD,1085,#bcec45
128,S91,S91,S91_1,S91,St. George - Staten Island Mall LTD,1085,#bcec45
106,S61,S61,S61_0,S61,St. George - Staten Island Mall,1085,#8cba77
247,BX33,BX33,BX33_0,Bx33,Port Morris - Harlem,1057,#ba6ec3
248,BX33,BX33,BX33_1,Bx33,Port Morris - Harlem,1057,#ba6ec3
86,S46,S46,S46_0,S46,St. George - West Shore Plaza,1048,#6fc2a1
136,S96,S96,S96_1,S96,St. George - West Shore Plaza LTD,1048,#c1a070
87,S46,S46,S46_1,S46,St. George - West Shore Plaza,1048,#6fc2a1
135,S96,S96,S96_0,S96,St. George - West Shore Plaza LTD,1048,#c1a070
109,S62,S62,S62_1,S62,St. George - Travis,1030,#3afe33
129,S92,S92,S92_0,S92,St. George - Travis LTD,1030,#82b57c
130,S92,S92,S92_1,S92,St. George - Travis LTD,1030,#82b57c
108,S62,S62,S62_0,S62,St. George - Travis,1030,#3afe33
31,M21,M21,M21_1,M21,Lower East Side - West Village LTD,1011,#48e964
30,M21,M21,M21_0,M21,Lower East Side - West Village LTD,1011,#48e964
157,Q26,Q26,Q26_0,Q26,Fresh Meadows - Flushing (Part-time),1007,#9fb879
158,Q26,Q26,Q26_1,Q26,Fresh Meadows - Flushing (Part-time),1007,#9fb879
218,BX18,BX18,BX18_1,Bx18,Morris Heights/High Bridge Circulator,969,#80acb1
217,BX18,BX18,BX18_0,Bx18,Morris Heights/High Bridge Circulator,969,#80acb1
72,M8,M8,M8_0,M8,West Village - East Village LTD,943,#39e6f8
73,M8,M8,M8_1,M8,West Village - East Village LTD,943,#39e6f8
16,M12,M12,M12_0,M12,Midtown West - West Village,939,#c66b9e
17,M12,M12,M12_1,M12,Midtown West - West Village,939,#c66b9e
120,S81,S81,S81_1,S81,St. George - Grant City LTD,889,#f63b74
90,S51,S51,S51_0,S51,St. George - West Shore Plaza,889,#3cf5ae
91,S51,S51,S51_1,S51,St. George - West Shore Plaza,889,#3cf5ae
115,S76,S76,S76_1,S76,St. George - Oakwood,872,#aa51e0
114,S76,S76,S76_0,S76,St. George - Oakwood,872,#aa51e0
122,S86,S86,S86_1,S86,St. George - Oakwood LTD,872,#a976bb
81,S40,S40,S40_1,S40,St. George - Goethals Rd North,848,#fd6434
126,S90,S90,S90_1,S90,St. George - Goethals Rd North LTD,848,#a382af
125,S90,S90,S90_0,S90,St. George - Goethals Rd North LTD,848,#a382af
80,S40,S40,S40_0,S40,St. George - Goethals Rd North,848,#fd6434
176,Q42,Q42,Q42_1,Q42,Addeslieigh Park - Jamaica,795,#709cc1
175,Q42,Q42,Q42_0,Q42,Addeslieigh Park - Jamaica,795,#709cc1
238,BX29,BX29,BX29_1,Bx29,City Island - Pelham Bay Pk Station,789,#60fb36
237,BX29,BX29,BX29_0,Bx29,City Island - Pelham Bay Pk Station,789,#60fb36
111,S66,S66,S66_1,S66,St. George - Port Richmond,711,#bb39f8
110,S66,S66,S66_0,S66,St. George - Port Richmond,711,#bb39f8
317,B32,B32,B32_0,B32,Williamsburg - Long Island City,705,#92b879
318,B32,B32,B32_1,B32,Williamsburg - Long Island City,705,#92b879
103,S57,S57,S57_1,S57,Port Richmond - New Dorp,691,#60d168
102,S57,S57,S57_0,S57,Port Richmond - New Dorp,691,#60d168
229,BX24,BX24,BX24_0,Bx24,Country Club - Hutchinson Metro Center,507,#e66d4b
230,BX24,BX24,BX24_1,Bx24,Country Club - Hutchinson Metro Center,507,#e66d4b
96,S54,S54,S54_0,S54,West New Brighton - Eltingville,463,#c66bb2
97,S54,S54,S54_1,S54,West New Brighton - Eltingville,463,#c66bb2
223,BX20,BX20,BX20_0,Bx20,Riverdale - Inwood,396,#fd4a34
224,BX20,BX20,BX20_1,Bx20,Riverdale - Inwood,396,#fd4a34
269,BX46,BX46,BX46_0,Bx46,Prospect Av - Westchester Av / Hunts Point Market,328,#fbe036
270,BX46,BX46,BX46_1,Bx46,Prospect Av - Westchester Av / Hunts Point Market,328,#fbe036
393,B84,B84,B84_1,B84,Spring Creek-New Lots,316,#4d33fe
392,B84,B84,B84_0,B84,Spring Creek-New Lots,316,#4d33fe
123,S89,S89,S89_0,S89,Eltingville - Bayonne LTD,300,#b471c0
124,S89,S89,S89_1,S89,Eltingville - Bayonne LTD,300,#b471c0
82,S42,S42,S42_0,S42,St. George - Clyde Place,284,#fd345a
83,S42,S42,S42_1,S42,St. George - Clyde Place,284,#fd345a
101,S56,S56,S56_1,S56,Huguenot - Staten Island Mall,265,#55a1dc
100,S56,S56,S56_0,S56,Huguenot - Staten Island Mall,265,#55a1dc
327,B39,B39,B39_0,B39,Williamsburg Bridge Plaza - Lower East Side,154,#3df49d
328,B39,B39,B39_1,B39,Williamsburg Bridge Plaza - Lower East Side,154,#3df49d
98,S55,S55,S55_0,S55,Rossville - Staten Island Mall,148,#52df78
99,S55,S55,S55_1,S55,Rossville - Staten Island Mall,148,#52df78
45,M35,M35,M35_1,M35,Ward's Island - East Harlem,119,#d86c59
44,M35,M35,M35_0,M35,Ward's Island - East Harlem,119,#d86c59
416,Q06,Q06,Q06_0,Q6,Sutphin Boulevard,0,#b2f73a
418,Q07,Q07,Q07_0,Q7,Rockaway Boulevard,0,#4bf43d
423,Q09,Q09,Q09_1,Q9,Lincoln Street,0,#8cca67
421,Q08,Q08,Q08_1,Q8,101St Avenue,0,#37fa68
422,Q09,Q09,Q09_0,Q9,Lincoln Street,0,#8cca67
417,Q06,Q06,Q06_1,Q6,Sutphin Boulevard,0,#b2f73a
419,Q07,Q07,Q07_1,Q7,Rockaway Boulevard,0,#4bf43d
420,Q08,Q08,Q08_0,Q8,101St Avenue,0,#37fa68
500,Q70,Q70+,Q70+_0,Q70-SBS,LaGuardia Link,0,#56db67
