,route,route_id,route_dir,route_shor,route_long,ridership,color
41,M34,M34+,M34+_1,M34-SBS,East Side - Javits Center,9664,#f46e3d
40,M34,M34+,M34+_0,M34-SBS,East Side - Javits Center,9664,#f46e3d
219,BX19,BX19,BX19_0,Bx19,NY Botanical Garden - Riverbank Park,9524,#75cf62
220,BX19,BX19,BX19_1,Bx19,NY Botanical Garden - Riverbank Park,9524,#75cf62
74,M96,M96,M96_0,M96,East Side - West Side,9393,#63ce82
75,M96,M96,M96_1,M96,East Side - West Side,9393,#63ce82
178,Q43,Q43,Q43_1,Q43,Floral Park - Jamaica,9346,#59e150
177,Q43,Q43,Q43_0,Q43,Floral Park - Jamaica,9346,#59e150
254,BX36,BX36,BX36_1,Bx36,Soundview - George Washington Bridge,9253,#e5fa37
253,BX36,BX36,BX36_0,Bx36,Soundview - George Washington Bridge,9253,#e5fa37
397,B9,B9,B9_1,B9,Bay Ridge - Kings Plaza,9152,#80c56c
396,B9,B9,B9_0,B9,Bay Ridge - Kings Plaza,9152,#80c56c
47,M3,M3,M3_1,M3,Fort George - East Village,8913,#adf73a
46,M3,M3,M3_0,M3,Fort George - East Village,8913,#adf73a
375,B68,B68,B68_0,B68,Coney Island - Windsor Terrace,8806,#76bc75
376,B68,B68,B68_1,B68,Coney Island - Windsor Terrace,8806,#76bc75
282,BX7,BX7,BX7_1,Bx7,Riverdale - Washington Heights,8709,#f23f95
281,BX7,BX7,BX7_0,Bx7,Riverdale - Washington Heights,8709,#f23f95
280,BX6,BX6,BX6_1,Bx6,Hunts Point - Riverside Dr,8659,#bf72ab
279,BX6,BX6,BX6_0,Bx6,Hunts Point - Riverside Dr,8659,#bf72ab
277,BX6,BX6+,BX6+_0,Bx6-SBS,Soundview - Riverside Dr,8659,#bf72ab
278,BX6,BX6+,BX6+_1,Bx6-SBS,Soundview - Riverside Dr,8659,#bf72ab
199,Q88,Q88,Q88_0,Q88,Elmhurst - Queens Village,8648,#e64b8b
200,Q88,Q88,Q88_1,Q88,Elmhurst - Queens Village,8648,#e64b8b
298,B15,B15,B15_1,B15,Bedford Stuyvesant - JFK Airport,8630,#f23f7e
297,B15,B15,B15_0,B15,Bedford Stuyvesant - JFK Airport,8630,#f23f7e
14,M11,M11,M11_0,M11,Riverbank Park & Harlem - West Village,8446,#c66b95
15,M11,M11,M11_1,M11,Riverbank Park & Harlem - West Village,8446,#c66b95
3,M102,M102,M102_1,M102,Harlem - East Village,8381,#39f89b
2,M102,M102,M102_0,M102,Harlem - East Village,8381,#39f89b
34,M23,M23+,M23+_0,M23-SBS,Chelsea Piers - East Side,8212,#8e34fd
35,M23,M23+,M23+_1,M23-SBS,Chelsea Piers - East Side,8212,#8e34fd
400,Q54,Q54,Q54_0,Q54,Williamsburg - Jamaica,8120,#44b7ed
401,Q54,Q54,Q54_1,Q54,Williamsburg - Jamaica,8120,#44b7ed
66,M79,M79+,M79+_0,M79-SBS,Yorkville - West Side,8048,#e34edb
67,M79,M79+,M79+_1,M79-SBS,Yorkville - West Side,8048,#e34edb
49,M42,M42,M42_1,M42,United Nations - W 42 St Pier,7993,#43eedd
48,M42,M42,M42_0,M42,United Nations - W 42 St Pier,7993,#43eedd
329,B3,B3,B3_0,B3,Bensonhurst - Bergen Beach,7979,#fd9134
330,B3,B3,B3_1,B3,Bensonhurst - Bergen Beach,7979,#fd9134
367,B63,B63,B63_0,B63,Bay Ridge - Cobble Hill,7963,#e0ad51
368,B63,B63,B63_1,B63,Bay Ridge - Cobble Hill,7963,#e0ad51
438,Q111,Q111,Q111_0,Q111,Guy Brewer Blvd - 147Th Ave,7805,#4976e8
439,Q111,Q111,Q111_1,Q111,Guy Brewer Blvd - 147Th Ave,7805,#4976e8
321,B36,B36,B36_0,B36,Sheepshead Bay - Coney Island,7797,#59d874
322,B36,B36,B36_1,B36,Sheepshead Bay - Coney Island,7797,#59d874
188,Q5,Q5,Q5_1,Q5,Rosedale - Jamaica,7741,#5745ec
187,Q5,Q5,Q5_0,Q5,Rosedale - Jamaica,7741,#5745ec
39,M31,M31,M31_1,M31,Yorkville - Clinton,7571,#8236fb
38,M31,M31,M31_0,M31,Yorkville - Clinton,7571,#8236fb
413,B103,B103,B103_1,B103,Canarsie - Downtown Brooklyn Ltd,7445,#9a39f8
412,B103,B103,B103_0,B103,Canarsie - Downtown Brooklyn Ltd,7445,#9a39f8
118,S79,S79+,S79+_0,S79-SBS,Staten Island Mall - Bay Ridge,7415,#adbd74
119,S79,S79+,S79+_1,S79-SBS,Staten Island Mall - Bay Ridge,7415,#adbd74
351,B49,B49,B49_0,B49,Manhattan Beach - Bedford-Stuyvesant,7377,#7b33fe
352,B49,B49,B49_1,B49,Manhattan Beach - Bedford-Stuyvesant,7377,#7b33fe
26,M1,M1,M1_0,M1,Harlem - East Village,7362,#9365cc
27,M1,M1,M1_1,M1,Harlem - East Village,7362,#9365cc
68,M7,M7,M7_0,M7,Harlem - 14th Street,7328,#78d160
69,M7,M7,M7_1,M7,Harlem - 14th Street,7328,#78d160
499,Q69,Q69,Q69_1,Q69,21 St - Ditmars Blvd,7312,#fe334b
498,Q69,Q69,Q69_0,Q69,21 St - Ditmars Blvd,7312,#fe334b
290,B11,B11,B11_1,B11,Sunset Park - Midwood,7277,#dab057
289,B11,B11,B11_0,B11,Sunset Park - Midwood,7277,#dab057
4,M103,M103,M103_0,M103,East Harlem - City Hall,7166,#ea47a4
5,M103,M103,M103_1,M103,East Harlem - City Hall,7166,#ea47a4
61,M60,M60+,M60+_1,M60-SBS,LaGuardia Airport - West Side,7109,#9bcb66
60,M60,M60+,M60+_0,M60-SBS,LaGuardia Airport - West Side,7109,#9bcb66
263,BX41,BX41+,BX41+_0,Bx41-SBS,Williamsbridge - The Hub,6939,#edd544
266,BX41,BX41,BX41_1,Bx41,Williamsbridge - The Hub,6939,#edd544
264,BX41,BX41+,BX41+_1,Bx41-SBS,Williamsbridge - The Hub,6939,#edd544
265,BX41,BX41,BX41_0,Bx41,Williamsbridge - The Hub,6939,#edd544
197,Q85,Q85,Q85_0,Q85,Rosedale - Jamaica,6916,#fc35e1
198,Q85,Q85,Q85_1,Q85,Rosedale - Jamaica,6916,#fc35e1
448,Q18,Q18,Q18_0,Q18,30 Ave - 58 St - 65 Pl,6896,#d45d76
449,Q18,Q18,Q18_1,Q18,30 Ave - 58 St - 65 Pl,6896,#d45d76
169,Q32,Q32,Q32_0,Q32,Jackson Heights - Penn Station,6879,#8381b0
170,Q32,Q32,Q32_1,Q32,Jackson Heights - Penn Station,6879,#8381b0
480,Q49,Q49,Q49_0,Q49,35 Ave,6720,#c968b9
481,Q49,Q49,Q49_1,Q49,35 Ave,6720,#c968b9
478,Q47,Q47,Q47_0,Q47,Atlas Mall - Laguardia Main Term,6699,#433bf6
479,Q47,Q47,Q47_1,Q47,Atlas Mall - Laguardia Main Term,6699,#433bf6
162,Q28,Q28,Q28_1,Q28,Bayside - Flushing,6647,#b1ac80
161,Q28,Q28,Q28_0,Q28,Bayside - Flushing,6647,#b1ac80
37,M2,M2,M2_1,M2,Washington Heights - East Village,6609,#765dd4
36,M2,M2,M2_0,M2,Washington Heights - East Village,6609,#765dd4
239,BX2,BX2,BX2_0,Bx2,Kingsbridge Heights - Mott Haven,6558,#66e150
221,BX1,BX1,BX1_0,Bx1,Riverdale - Mott Haven,6558,#42ef81
222,BX1,BX1,BX1_1,Bx1,Riverdale - Mott Haven,6558,#42ef81
