,Route,*,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,,2022 - 2023 Change,,2023 Rank
58,BxM4,,385.0787401574803,363.2008,239.0,286.3004,364.7835,418.0,,53.216499999999996,0.14588516202076024,23
59,BxM6,,595.2637795275591,538.9567,331.0,415.5415,526.4646,594.0,,67.53539999999998,0.1282809898329346,19
60,BxM7,,2423.5708661417325,2272.2677,1245.0,1436.9565,1840.685,2118.0,,277.31500000000005,0.1506585863414979,1
61,BxM8,,1500.6338582677165,1365.2677,739.0,924.3953,1235.4488,1434.0,,198.5512000000001,0.16071179963103296,3
62,BxM9,,1989.5039370078741,1842.4606,883.0,1040.6838,1358.5197,1634.0,,275.48029999999994,0.20277976094126565,2
63,BxM10,,1455.3031496062993,1376.7244,758.0,893.0474,1172.7638,1361.0,,188.23620000000005,0.1605064890304425,6
64,BxM11,,1112.240157480315,1029.8583,599.0,674.4941,895.8346,978.0,,82.16539999999998,0.09171938659212311,9
65,BxM18,,238.89370078740157,239.7677,88.0,101.8893,192.5945,229.0,,36.40549999999999,0.18902668560109445,32
66,QM1 / QM31,,488.09448818897636,439.567,173.0,170.1857,262.996,304.0,,41.00400000000002,0.1559111165188825,29
67,QM2 / QM32,,1689.6141732283465,1534.0157000000002,548.0,578.917,864.8661,1082.0,,217.13390000000004,0.2510607133289188,8
68,QM3,,116.87007874015748,103.8504,46.0,53.7668,82.9606,95.0,,12.0394,0.14512190123986568,35
69,QM4 / QM44,,689.5314960629921,603.937,286.0,325.9012,452.91740000000004,513.0,,60.08259999999996,0.1326568597276235,20
70,QM5 / QM35,,1890.283464566929,1703.3700999999999,708.0,841.7193,1221.2992,1390.0,,168.70080000000007,0.13813224474395797,4
71,QM6 / QM36,,1006.0551181102362,925.6024,368.0,419.7154,616.5788,724.0,,107.4212,0.1742213647306719,14
72,QM7,,639.3464566929134,599.6102,197.0,189.8538,361.6535,433.0,,71.34649999999999,0.19727861060379615,22
73,QM8,,575.6811023622047,540.8976,169.0,173.2569,311.7953,370.0,,58.2047,0.18667600185121458,26
74,QM10 / QM40,,303.81496062992125,277.7796,127.0,151.4427,220.2756,269.0,,48.7244,0.22119744538205777,31
75,QM11,,432.50787401574803,374.2717,125.0,155.0672,296.5039,358.0,,61.49610000000001,0.2074040172827407,28
76,QM12 / QM42,,424.88188976377955,386.0709,163.0,202.083,305.5354,361.0,,55.46460000000002,0.18153248363364777,27
77,QM15,,1479.6338582677165,1417.0945,643.0,802.5613,1177.1063,1387.0,,209.89370000000008,0.17831329252081998,5
78,QM16,,480.4212598425197,493.2913,183.0,202.3399,324.9173,382.0,,57.08269999999999,0.17568378168844806,24
79,QM17,,448.37795275590554,430.1732,193.0,219.2767,331.6299,381.0,,49.37009999999998,0.14887107585896198,25
80,QM18,,223.94094488188978,206.8031,101.0,103.8379,148.252,166.0,,17.74799999999999,0.11971507972910982,34
81,QM20,,1025.1968503937007,942.3071,370.0,424.7866,616.6063,731.0,,114.39369999999997,0.18552145834384107,12
82,QM21,,242.14566929133858,220.8189,100.0,116.0791,156.6732,169.0,,12.326799999999992,0.0786784210701,33
83,QM24 / QM34,,1107.0196850393702,907.622,292.0,314.90909999999997,519.3425,726.0,,206.65750000000003,0.39792141024468447,13
84,QM25,,413.9448818897638,338.9488,93.0,96.1383,181.6024,276.0,,94.39760000000001,0.5198037030347618,30
85,Express Total,,29638.047244094487,27547.9566,12635.0,14866.912900000003,21174.610200000003,24832.0,,3657.389799999997,0.17272524808980882,
86,,,,,,,,,,,,
87,Adjustment,,451.2755905511793,1220.8822,481.0,1282.7329,1636.8935,1765.0,,,,
88,Grand Total,,392617.45954633545,388075.14650000003,207042.0,228425.30399999997,268123.58660000004,279250.0,,11126.413399999961,0.04149733166369616,
89,,,,,,,,,,,,
90,"* MTA Bus Routes that were changed between 2018 and 2023; see ""Notes"" for details.",,,,,,,,,,,
