,Route,*,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,,2022-2023 Change,,2023 Rank
47,B68,,12660.0,12179.5584,4726.0,7684.6658,8638.2662,8806.0,,167.73379999999997,0.01941753080033583,31
48,B69,,4134.0,4323.4811,1398.0,1970.2888,2570.5501,2797.0,,226.44990000000007,0.0880939453387818,132
49,B70,,6520.0,7065.1656,2230.0,3422.8556,4548.018,4776.0,,227.98199999999997,0.05012776994286302,91
50,B74,,3598.0,3330.0649,2074.0,1834.0193,1973.3278,1892.0,,-81.32780000000002,-0.04121352772712168,150
51,B82Lcl/SBS,2,25126.0,26775.369,17012.0,16916.5966,18409.478499999997,18080.0,,-329.47849999999744,-0.0178972207170343,5
52,B83,,7024.0,6630.9859,4112.0,3805.4692,3924.7552,3513.0,,-411.75520000000006,-0.10491232676116972,117
53,B84,,544.0,514.3889,274.0,248.6113,323.6338,316.0,,-7.633800000000008,-0.023587771116613924,184
54,B OTHER,,683.0,2428.4031999999997,802.0,2901.121,3775.1627,4441.0,,,,
55,Brooklyn Local,,537217.0,525135.4423999999,299650.0,303551.51839999994,332285.861,324385.0,,-7900.860999999975,-0.02377730119549076,
56,,,,,,,,,,,,
57,Bx1/2,,30134.0,27558.5515,16429.0,15720.5776,15217.0328,13117.0,,-2100.032800000001,-0.13800540667823236,15
58,Bx3,,12538.0,11252.0237,7882.0,6704.9727,6665.3223,5978.0,,-687.3222999999998,-0.10311913949007384,67
59,Bx4,,9043.0,8369.7537,5321.0,4736.3975,4683.0151,4415.0,,-268.0150999999996,-0.057231312365403145,102
60,Bx5,,9133.0,8954.6334,4217.0,4660.521,4254.2044,3542.0,,-712.2043999999996,-0.16741189022323413,116
61,Bx6Lcl/SBS,,22824.0,21699.3668,14177.0,11259.114000000001,10489.848399999999,8659.0,,-1830.848399999999,-0.17453525829791774,33
62,Bx7,,13257.0,13418.1683,8501.0,8217.3518,8499.3779,8709.0,,209.6221000000005,0.024663228587588806,32
63,Bx8,,6356.0,6248.3975,3126.0,3731.4253,3817.7052,3317.0,,-500.7051999999999,-0.13115344788801395,120
64,Bx9,,23180.0,21839.7011,13060.0,13295.9182,12544.5596,10746.0,,-1798.5596000000005,-0.14337367411447433,21
65,Bx10,,10358.0,9936.9103,5618.0,5861.4455,6349.5445,6198.0,,-151.54449999999997,-0.023866987624072872,66
66,Bx11,,11536.0,10637.597,6487.0,6005.4891,6023.681,5439.0,,-584.6809999999996,-0.09706373893305432,75
67,Bx12Lcl/SBS,,42377.0,40259.562,23937.0,21856.9463,20666.0073,18388.0,,-2278.007300000001,-0.11022967653747034,4
68,Bx13,,10217.0,9754.2109,6457.0,5625.0079,5596.5517,4760.0,,-836.5517,-0.14947627482830186,92
69,Bx15,,21777.0,20579.2261,12286.0,10158.6118,7180.7007,3915.0,,-3265.7007000000003,-0.45478858351525503,107
70,Bx16,,7026.0,6980.9977,3976.0,3825.9045,3671.9942,3744.0,,72.00579999999991,0.019609453631489915,113
71,Bx17,,8187.0,7316.2632,4287.0,4292.9179,3854.7099,3090.0,,-764.7098999999998,-0.19838325576718494,123
72,Bx18,1,1580.0,1420.1756,877.0,749.3412,1064.7857,969.0,,-95.7856999999999,-0.0899577257658512,172
73,Bx19,,23259.0,21474.65,16463.0,12762.5093,11466.4813,9524.0,,-1942.4812999999995,-0.16940517750637238,25
74,Bx20,,813.0,868.2558,351.0,367.0363,433.222,396.0,,-37.22199999999998,-0.08591899765016546,182
75,Bx21,,12097.0,11467.8451,7104.0,6631.9089,6250.4483,5242.0,,-1008.4483,-0.16134015539333396,82
76,Bx22,,12391.0,11627.5957,5995.0,6482.783,6260.3261,5333.0,,-927.3261000000002,-0.14812744339308462,81
77,Bx24,,771.0,804.4977,500.0,432.0229,474.1342,507.0,,32.86579999999998,0.06931750546575205,180
78,Bx25,3,,,,,897.5559,1712.0,,,,156
79,Bx26,,6743.0,6728.2289,4089.0,3824.4962,2915.7124,1832.0,,-1083.7124,-0.371680142389901,151
80,Bx27,,6145.0,5916.5456,3107.0,3126.3577,2936.7875,2394.0,,-542.7874999999999,-0.18482355294688496,139
81,Bx28/38,,13124.0,12293.8422,7839.0,7117.6772,7423.0049,7124.0,,-299.0048999999999,-0.04028084367827912,54
82,Bx29,,2254.0,2206.5176,1332.0,1282.0373,996.4599,789.0,,-207.45989999999995,-0.20819693798014346,176
83,Bx30,,7973.0,7754.1179,5058.0,4323.5738,3343.0006,2706.0,,-637.0005999999998,-0.19054755778386634,135
84,Bx31,,8295.0,8114.1943,4248.0,4891.6054,4686.6172,4018.0,,-668.6171999999997,-0.14266520423302329,105
85,Bx32,,5746.0,5413.974,3437.0,3123.5525,2824.0984,2453.0,,-371.09839999999986,-0.13140420319631918,138
86,Bx33,,2318.0,2133.645,1010.0,1148.797,1139.0095,1057.0,,-82.00949999999989,-0.07200071641193502,168
87,Bx34,,3408.0,3324.6823,1949.0,1821.3074,1817.1859,1904.0,,86.81410000000005,0.04777392340541496,149
88,Bx35,,14326.0,12680.6505,7847.0,6950.0331,6609.3893,5432.0,,-1177.3892999999998,-0.17813889401249217,77
89,Bx36,,24736.0,21874.9896,14492.0,12044.3039,11158.3291,9253.0,,-1905.3291000000008,-0.17075397964378025,28
90,Bx39,,13247.0,12334.0102,9847.0,7786.6467,6835.2742,5625.0,,-1210.2741999999998,-0.177063006484802,73
91,Bx40/42,,19995.0,18835.0544,12781.0,10399.420699999999,9483.0893,7711.0,,-1772.0892999999996,-0.18686835523103212,46
92,Bx41Lcl/SBS,,18313.0,17699.2359,11736.0,9973.2525,8369.206600000001,6939.0,,-1430.2066000000013,-0.17088914975524694,56
93,Bx46,,548.0,581.9728,249.0,386.1491,366.5864,328.0,,-38.586400000000026,-0.10525867844524517,183
94,Bx OTHER,,472.0,2027.6753999999999,1089.0,2285.2567,2237.0308,2087.0,,,,
95,Bronx Local,,436497.0,412387.7197000001,257161.0,233862.6699,219501.9905,189352.0,,-30149.990500000014,-0.13735634210569955,
96,,,,,,,,,,,,
97,M1,,9568.0,9321.6316,2983.0,4596.2242,6366.5787,7362.0,,995.4213,0.15635105555201886,50
98,M2,,8504.0,8446.012,3033.0,5080.3292,6124.6457,6609.0,,484.35429999999997,0.07908282759931728,60
99,M3,,12324.0,12516.1338,4935.0,7841.9369,8521.305,8913.0,,391.6949999999997,0.045966550898013825,30
