name,rid,color,area_px,lon,lat,country,province,admin_divisions,flags
,572,#bf94e9,415,120.0849,30.909,China,浙江省,湖州市吴兴区: 八里店镇、织里镇(部分)、龙溪街道、滨湖街道、杨家埠街道、仁皇山街道、环渚街道; 湖州市长兴县: 洪桥镇、李家巷镇、吕山乡,
,137,#7997e8,680,121.2986,30.8528,China,Shanghai,"most of Jinshan (金山区) (also Fengxian (奉贤区), Songjiang (松江区))",
,277,#9d7fd8,268,120.782,30.7612,China,Zhejiang,part of central Xiuzhou (秀洲区); Jiaxing (嘉兴市),
,774,#d5b3df,2391,119.6501,30.7557,China,"Zhejiang, Anhui, Jiangsu","Huzhou (湖州市) minus Deqing (德清县) and Huzhou (also Jiangsu, Anhui)",
,601,#c2a8e8,1418,120.1712,30.7305,China,"Zhejiang, Jiangsu","most of Huzhou (also Deqing (德清县), Changxing (长兴县), Jiangsu)",
,1182,#eb9cc9,12,122.535,30.7045,China,浙江省,舟山市嵊泗县: 菜园镇(部分)、黄龙乡(部分)、枸杞乡(部分),
,384,#ab9fe1,775,121.0079,30.6776,China,"Zhejiang, Shanghai","Pinghu (平湖市); southeastern part of Xiuzhou (秀洲区) (also Haiyan (海盐县), Shanghai)",
,1003,#e4b5a9,3765,118.8811,30.667,China,"Anhui, Zhejiang",Ningguo (宁国市); most of Xuanzhou (宣州区) (also Zhejiang),
,610,#c390df,549,120.555,30.6374,China,Zhejiang,most of Tongxiang (桐乡市); southern part of Xiuzhou (秀洲区),
,703,#ce84e8,391,120.3901,30.4811,China,浙江省,嘉兴市海宁市: 许村镇、长安镇、周王庙镇; 嘉兴市桐乡市: 崇福镇、洲泉镇、大麻镇; 杭州市余杭区: 运河街道、南苑街道、东湖街道,
,619,#c48cd8,1161,119.9244,30.4659,China,Zhejiang,western half of Yuhang (余杭区); most of Deqing (德清县),
,586,#c197e9,712,120.7668,30.4596,China,Zhejiang,most of Haining (海宁市); most of Haiyan (海盐县),
,607,#c371e1,164,120.2109,30.4224,China,浙江省,杭州市余杭区: 塘栖镇、临平街道、崇贤街道、星桥街道、乔司街道(部分); 杭州市拱墅区: 半山街道; 杭州市江干区: 丁桥镇,
,777,#d67ae8,134,120.3316,30.3238,China,浙江省,杭州市江干区: 下沙街道、白杨街道、九堡镇、彭埠镇(部分); 嘉兴市海宁市: 长安镇(部分); 杭州市余杭区: 乔司街道(部分),
