region_id,name,name_en,ele_m,lat,lon,px_cells
1734904,天佛指山 천불지산,Tianfozhi Shan,1266,42.5314,129.5925,2644
6109655,,,,,,2603
3927805,,,,,,2513
4063291,불모산,BULMOSAN,802,35.1663,128.741,2507
6333627,,,,,,2497
2830210,두류산,Mount Turyu,1323,39.1908,127.0764,2491
423373,г. Стрельникова,,944,46.6539,134.1313,2442
3794003,팔공산비로봉,Palgongsan Birobong,1193,36.0165,128.6953,2390
372552,大锅山,Daguo Shan,755,46.9614,128.5477,2357
13578,,,,,,2351
2992803,月山,Mt. Gassan,1984,38.5487,140.0268,2319
1982928,남포태산,Mount Nampotae,2433,41.7366,128.4091,2267
6335957,,,,,,2258
6042575,,,,,,2245
4462349,嘉納山,Mt. Kano,691,33.9141,132.2453,2238
1188985,Изюбриная,,1433,44.2456,134.2078,2225
4977051,尾鈴山,Mt. Osuzu,1405,32.2993,131.4265,2219
2021069,,,,,,2197
3202580,가마봉,,1190,37.8861,128.1773,2193
2097236,,,,,,2165
5139759,,,,,,2144
4359697,諭鶴羽山,Mt. Yuzuruha,608,34.2348,134.8142,2119
4076280,무등산(천왕봉),Mudeungsan,1187,35.125,127.0086,2066
4375668,八経ヶ岳,Mount Hakkyō,1915,34.1736,135.9075,1899
5640688,,,,,,1896
4115917,조계산,Jogyesan Mt.,884,35.0013,127.3136,1832
2620773,峠ノ神山,Mt. Togenokami,1229,39.7269,141.7812,1817
3777244,,,,,,1817
4043402,神山,Kami Yama,1438,35.2335,139.021,1724
768653,,,,,,1686
2296850,,,,,,1661
2892363,,,,,,1625
6334740,,,,,,1620
4826435,平成新山,,1483,32.7614,130.2989,1592
1357096,康大腊,,1233,43.5166,127.0119,1586
1274848,Мечникова,Mechnikova,798,43.9633,145.7301,1555
4409538,琴石山,,545,33.9734,132.1491,1554
6066969,,,,,,1424
2632091,룡문산,Mount Ryongmun,1180,39.8329,126.1357,1412
2526519,비로봉,Piro Peak,1909,40.0189,126.3337,1402
2535906,,,,,,1395
3321762,,,,,,1393
5607856,,,,,,1391
5186312,,,,,,1376
2800179,焼石岳,Mt. Yakeishi,1547,39.1637,140.8288,1369
3448137,태화산,,1028,37.1176,128.4854,1359
6055832,,,,,,1329
2684895,재동산,,1016,39.5176,126.135,1319
5178433,,,,,,1281
3337267,가리왕산,,1561,37.4614,128.5634,1261
6171072,,,,,,1238
630954,,,,,,1236
5871792,御岳,Mt. Mitake,584,29.465,129.5947,1193
1411718,班渓幌内山,Mount Panke Horonai,900,43.6065,142.2709,1191
2901429,대각산,,1278,38.8321,126.5804,1176
4163502,망운산,,786,34.8517,127.8555,1153
5892083,,,,,,1121
6334203,,,,,,1094
1622718,ニセコアンヌプリ,Niseko Annupuri,1308,42.875,140.6588,1054
5577742,,,,,,924
5816365,御岳,Mt. Otake,796,29.6383,129.7139,914
4269877,星ケ城山,Mt. Hoshigajo,816,34.5153,134.3174,878
4545035,,,,,,849
2389255,직골산,Chikkol-san,1607,40.4496,126.4606,844
3095779,白鷹山,Shirataka Yama,994,38.2227,140.1731,834
5557167,,,,,,825
4374368,,,,,,776
3141828,사명산,,1198,38.0761,127.9052,708
4796475,,,,,,689
5745102,御岳,Otake,979,29.8593,129.857,668
6302876,,,,,,655
4653691,,,,,,615
5557706,古岳,Mt. Furudake,649,30.4401,130.2135,597
1382653,イルムケップ山,,864,43.6292,142.1103,588
5209824,,,,,,567
6304310,,,,,,530
4421504,,,,,,458
5406481,,,,,,396
4279412,,,,,,382
5034123,,,,,,380
5147783,,,,,,365
5200486,,,,,,341
5552359,,,,,,299
2659885,,,,,,290
4078684,,,,,,270
5113460,,,,,,267
1638576,真狩岳,Mt. Makkari,1893,42.8282,140.8112,264
4616210,,,,,,258
5226990,,,,,,246
5433059,,,,,,246
4680562,,,,,,243
2365094,,,,,,241
4176359,,,,,,236
2130456,,,,,,206
2866953,,,,,,197
5237607,,,,,,191
3658874,,,,,,176
3397543,,,,,,167
3925498,,,,,,164
4168080,,,,,,164
3336809,,,,,,156
5554344,,,,,,152
3447581,,,,,,128
3323513,,,,,,123
3875352,,,,,,120
4049703,,,,,,120
4350564,,,,,,119
3030539,,,,,,116
